episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
104,-1.27,9,1.46,0.978039,-80.645782,,20.0,,
105,0.21,10,1.49,0.978173,-87.528641,,20.0,,
106,0.74,10,1.5,0.978288,-92.237793,,20.0,,
107,0.08,8,1.51,0.97839,-89.96376,,20.0,,
108,-0.07,10,1.51,0.978461,-97.057762,,20.0,,
109,0.29,11,1.52,0.978586,-76.588432,,20.0,,
110,0.4,10,1.54,0.978693,-90.312431,,20.0,,
111,0.36,10,1.56,0.978798,-87.390091,,20.0,,
112,-1.63,9,1.57,0.978942,-81.788406,,20.0,,
113,-0.26,11,1.59,0.979074,-92.369652,,20.0,,
114,1.19,10,1.59,0.979227,-79.449974,,20.0,,
115,1.58,9,1.6,0.979332,-94.832245,,20.0,,
116,-0.56,11,1.62,0.979406,-100.690994,,20.0,,
117,0.36,10,1.64,0.979498,-84.53231,,20.0,,
118,-0.22,11,1.65,0.979566,-94.859253,,20.0,,
119,0.95,8,1.65,0.979516,-113.930031,,20.0,,
120,1.38,9,1.67,0.979492,-80.37413,,20.0,,
121,1.12,9,1.69,0.979382,-110.709732,,20.0,,
122,1.45,9,1.71,0.979305,-81.945229,,20.0,,
123,1.46,9,1.72,0.979178,-101.221985,,20.0,,
124,0.6,10,1.74,0.979118,-76.203514,,20.0,,
125,0.11,9,1.74,0.979104,-81.482269,,20.0,,
126,1.21,10,1.76,0.979063,-94.852295,,20.0,,
127,0.37,8,1.77,0.978986,-100.00943,,20.0,,
128,1.31,9,1.79,0.978922,-84.893486,,20.0,,
129,0.63,10,1.8,0.978903,-81.081841,,20.0,,
130,1.96,8,1.81,0.97883,-98.253548,,20.0,,
131,1.16,9,1.83,0.978772,-85.538239,,20.0,,
132,2.4,8,1.84,0.978683,-91.462158,,20.0,,
133,0.4,10,1.86,0.978637,-81.22718,,20.0,,
134,1.34,9,1.87,0.978527,-104.222847,,20.0,,
135,-0.03,7,1.89,0.978444,-84.984268,,20.0,,
136,1.69,9,1.89,0.978341,-91.959419,,20.0,,
137,1.4,10,1.9,0.978196,-99.93042,,20.0,,
138,1.97,9,1.92,0.978048,-89.921082,,20.0,,
139,1.96,10,1.93,0.977913,-85.347855,,20.0,,
140,0.67,10,1.95,0.977729,-104.479942,,20.0,,
141,0.02,11,1.97,0.97751,-106.292404,,20.0,,
142,-0.15,11,1.98,0.977365,-80.120636,,20.0,,
143,-0.28,11,2.01,0.977246,-90.405327,,20.0,,
144,1.21,10,2.02,0.977119,-92.781128,,20.0,,
145,0.77,10,2.02,0.976942,-104.77916,,20.0,,
146,0.88,10,2.04,0.976726,-103.47142,,20.0,,
147,0.4,11,2.06,0.97654,-89.316322,,20.0,,
148,0.18,11,2.07,0.976391,-87.340469,,20.0,,
149,0.43,10,2.09,0.976263,-87.655159,,20.0,,
150,-0.17,11,2.11,0.976174,-86.595688,,20.0,,
151,-0.57,11,2.13,0.97611,-90.135483,,20.0,,
152,-0.54,11,2.14,0.97598,-114.166702,,20.0,,
153,0.13,10,2.16,0.975839,-96.927483,,20.0,,
154,-0.35,11,2.17,0.97573,-89.654526,,20.0,,
155,-0.79,11,2.18,0.975617,-98.631706,,20.0,,
156,0.76,10,2.2,0.975486,-96.962578,,20.0,,
157,0.18,11,2.21,0.975347,-96.511742,,20.0,,
158,0.45,10,2.21,0.975221,-90.344948,,20.0,,
159,0.79,10,2.23,0.975102,-90.73098,,20.0,,
160,1.25,10,2.25,0.974987,-90.4534,,20.0,,
161,1.45,14,2.28,0.974889,-86.363121,,20.0,,
162,-0.26,11,2.3,0.974798,-93.463303,,20.0,,
163,-0.87,11,2.31,0.974697,-99.822563,,20.0,,
164,0.65,11,2.32,0.974636,-82.760918,,20.0,,
165,0.06,10,2.32,0.974566,-95.608849,,20.0,,
166,0.1,11,2.35,0.974488,-95.555656,,20.0,,
167,1.12,11,2.39,0.97443,-84.923691,,20.0,,
168,1.41,9,2.42,0.974373,-88.224091,,20.0,,
169,-1.02,11,2.44,0.974348,-89.033524,,20.0,,
170,-0.4,11,2.46,0.974366,-83.373749,,20.0,,
171,0.57,12,2.48,0.974403,-85.244865,,20.0,,
172,1.85,13,2.49,0.974455,-85.217621,,20.0,,
173,0.94,10,2.51,0.97452,-83.62616,,20.0,,
174,0.61,11,2.52,0.974563,-93.202507,,20.0,,
175,0.04,10,2.53,0.974542,-106.080284,,20.0,,
176,0.94,12,2.55,0.974575,-76.719139,,20.0,,
177,0.12,10,2.56,0.974572,-99.432602,,20.0,,
178,-1.27,9,2.57,0.974575,-92.463043,,20.0,,
179,0.62,11,2.59,0.974574,-89.858276,,20.0,,
180,0.88,12,2.61,0.974539,-98.216606,,20.0,,
181,-1.64,11,2.63,0.974488,-101.758888,,20.0,,
182,2.85,11,2.65,0.974411,-90.478622,,20.0,,
183,-1.53,12,2.67,0.974373,-91.270226,,20.0,,
184,1.27,11,2.68,0.974407,-70.832001,,20.0,,
185,1.18,11,2.69,0.974404,-95.294731,,20.0,,
186,-0.58,12,2.71,0.97443,-87.071922,,20.0,,
187,0.31,10,2.72,0.974521,-74.029442,,20.0,,
188,0.49,10,2.75,0.974641,-80.926788,,20.0,,
189,0.05,10,2.76,0.974738,-94.349449,,20.0,,
190,2.22,12,2.78,0.974775,-98.336731,,20.0,,
191,1.26,11,2.79,0.97483,-82.552605,,20.0,,
192,0.66,12,2.8,0.974923,-79.816895,,20.0,,
193,-0.64,12,2.82,0.975024,-90.686821,,20.0,,
194,-0.14,11,2.83,0.975137,-87.502167,,20.0,,
195,0.59,12,2.85,0.975258,-85.217247,,20.0,,
196,-0.69,11,2.87,0.975387,-89.346184,,20.0,,
197,0.64,13,2.88,0.975401,-115.935715,,20.0,,
198,0.64,12,2.9,0.97543,-86.55378,,20.0,,
199,0.01,11,2.92,0.975457,-91.794655,,20.0,,
200,-0.65,11,2.93,0.975495,-91.860901,,20.0,,
201,-0.57,11,3.03,0.975544,-89.445778,,20.0,,
202,2.2,12,3.06,0.975574,-89.90609,,20.0,,
203,1.84,12,3.08,0.975643,-76.865265,,20.0,,
204,1.08,11,3.09,0.975735,-80.736992,,20.0,,
205,-0.13,11,3.11,0.975757,-107.23278,,20.0,,
206,-1.49,13,3.12,0.975798,-92.962448,,20.0,,
207,0.33,12,3.14,0.975861,-84.820938,,20.0,,
208,0.63,12,3.15,0.975973,-76.361229,,20.0,,
209,-0.63,11,3.17,0.976024,-106.479935,,20.0,,
210,-0.01,11,3.19,0.976074,-91.65049,,20.0,,
211,0.01,11,3.2,0.976123,-91.158852,,20.0,,
212,0.94,11,3.21,0.976179,-85.659538,,20.0,,
213,0.56,11,3.22,0.976267,-79.7575,,20.0,,
214,-0.66,14,3.23,0.976358,-95.864479,,20.0,,
215,-0.09,11,3.25,0.976424,-96.648895,,20.0,,
216,0.1,11,3.26,0.976494,-89.451973,,20.0,,
217,-1.02,12,3.28,0.976465,-119.656494,,20.0,,
218,-0.66,11,3.3,0.97643,-96.356125,,20.0,,
219,0.25,12,3.31,0.976406,-89.518532,,20.0,,
220,1.4,12,3.33,0.976416,-81.102081,,20.0,,
221,0.28,11,3.35,0.976406,-94.889648,,20.0,,
222,0.93,12,3.38,0.976401,-88.505409,,20.0,,
223,0.26,12,3.4,0.976433,-82.871422,,20.0,,
224,-0.56,11,3.41,0.97643,-101.152588,,20.0,,
225,0.19,10,3.42,0.976379,-102.980675,,20.0,,
226,0.07,11,3.44,0.976301,-98.693893,,20.0,,
227,1.01,13,3.46,0.976214,-94.742302,,20.0,,
228,1.9,17,3.48,0.97614,-85.866432,,20.0,,
229,-0.05,12,3.49,0.976107,-84.61602,,20.0,,
230,1.51,15,3.51,0.976062,-93.865463,,20.0,,
231,-1.01,11,3.52,0.976017,-96.265968,,20.0,,
232,-0.56,12,3.52,0.975967,-97.735901,,20.0,,
233,2.11,13,3.56,0.975977,-73.818832,,20.0,,
234,1.49,15,3.57,0.975981,-90.938255,,20.0,,
235,2.36,14,3.59,0.975951,-96.499886,,20.0,,
236,-0.86,11,3.62,0.975971,-83.838158,,20.0,,
237,-0.51,12,3.63,0.97594,-107.09333,,20.0,,
238,-0.92,11,3.64,0.975909,-96.744675,,20.0,,
239,2.11,14,3.66,0.975826,-100.015755,,20.0,,
240,0.65,12,3.68,0.97575,-90.412163,,20.0,,
241,1.69,14,3.7,0.9757,-85.034668,,20.0,,
242,1.8,14,3.72,0.97563,-95.392876,,20.0,,
243,0.03,11,3.74,0.975503,-105.73571,,20.0,,
244,-0.34,10,3.75,0.975317,-110.5093,,20.0,,
245,-0.58,11,3.76,0.975154,-93.446068,,20.0,,
246,-0.18,11,3.77,0.975024,-88.858208,,20.0,,
247,-0.31,11,3.79,0.974923,-90.183098,,20.0,,
