episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
80,1.87,9,1.34,0.975136,-0.106621,3.122743,,0.297386,0.000117
81,0.33,10,1.35,0.975072,-1.884774,5.9667,,0.845852,-0.176284
82,0.98,10,1.37,0.975018,-0.28995,3.745509,,-0.621971,-0.086613
83,1.04,9,1.38,0.974945,-1.013422,11.190975,,-0.039057,-0.097434
84,1.08,11,1.4,0.974882,-0.30292,4.641406,,-0.0415,-0.076443
85,1.65,9,1.42,0.974814,-0.583612,1.738282,,0.182631,-0.029267
86,1.36,10,1.43,0.974731,-0.704467,5.678526,,0.469629,-0.071586
87,1.54,9,1.44,0.974648,-0.37244,3.450912,,-0.297787,-0.047014
88,1.63,9,1.46,0.974547,-1.055308,4.144103,,-0.088315,-0.054074
89,2.06,9,1.47,0.974477,0.609827,1.807574,,0.190922,0.00639
90,0.83,10,1.49,0.974422,-0.20934,3.933228,,-0.496272,-0.122582
91,2.19,9,1.5,0.974334,-0.937343,2.983196,,-0.090412,0.005969
92,0.82,10,1.52,0.974253,-0.712817,3.356451,,0.196083,-0.14474
93,0.8,10,1.53,0.974206,0.156714,7.570405,,0.173697,-0.142596
94,2.06,9,1.54,0.974185,0.698945,1.758623,,0.1601,-0.008609
95,1.29,10,1.57,0.974203,0.762646,3.20849,,-0.574978,-0.087942
96,0.7,10,1.58,0.974223,-0.500699,1.547081,,-0.61907,-0.153831
97,1.14,10,1.6,0.974238,-0.531509,4.894819,,-0.62575,-0.11113
98,-0.06,10,1.61,0.974245,-1.25136,6.881105,,0.235472,-0.244933
99,1.29,10,1.63,0.974257,-0.442518,4.89797,,-0.293401,-0.10984
100,1.06,9,1.64,0.974144,-4.429882,19.103092,,-1.524076,-0.127693
101,1.6,10,1.75,0.974012,-1.171863,3.82611,,-0.615943,-0.059646
102,1.77,9,1.78,0.973877,-0.734553,1.26289,,-0.128018,-0.062701
103,4.43,11,1.79,0.973747,0.436404,2.942019,,1.402832,0.169765
104,1.78,10,1.81,0.973636,0.103249,3.247643,,-0.397711,-0.064742
105,1.46,10,1.84,0.973583,0.910106,2.775262,,-0.059663,-0.106998
106,1.77,10,1.86,0.973523,-0.510755,4.165208,,-0.112015,-0.075029
107,1.58,9,1.88,0.973492,0.316816,3.057148,,-0.802245,-0.093373
108,1.65,10,1.9,0.973476,-0.055272,4.991273,,-0.258531,-0.086973
109,-0.03,10,1.92,0.973437,-1.747738,5.335869,,-0.887514,-0.246761
110,1.45,10,1.93,0.973437,0.671718,6.977106,,1.70187,-0.126011
111,0.45,10,1.95,0.973447,-0.48584,4.964824,,-0.610028,-0.207088
112,1.27,10,1.96,0.973472,-0.331642,2.200341,,0.689394,-0.144148
113,0.94,9,1.98,0.973445,-2.293908,6.042921,,-0.25903,-0.185482
114,1.52,9,1.99,0.973451,0.422995,6.553759,,-0.484546,-0.111639
115,0.88,10,2.01,0.973434,-1.349688,3.551666,,-0.817181,-0.174318
116,2.15,10,2.03,0.973414,-0.366327,1.398012,,0.248584,-0.052335
117,2.51,10,2.04,0.973387,-0.299174,0.761103,,0.526882,-0.022186
118,1.87,9,2.05,0.973377,-0.113555,1.410872,,-0.516833,-0.090351
119,0.97,10,2.07,0.973386,-0.203109,4.678563,,-0.887858,-0.172378
120,3.59,10,2.08,0.973421,1.086059,0.551124,,0.674226,0.093158
121,3.55,10,2.09,0.973438,-0.111613,1.381784,,0.665433,0.076336
122,2.84,10,2.1,0.973457,0.137625,1.5608,,0.269977,0.000106
123,1.23,10,2.13,0.973477,-0.646649,2.195891,,-0.873224,-0.144576
124,1.91,10,2.15,0.973472,-0.925554,1.333499,,-1.008325,-0.073545
125,2.65,10,2.16,0.973493,0.650526,1.745875,,-0.329732,-0.006792
126,1.9,9,2.16,0.973501,-0.679745,1.569617,,-0.891748,-0.078156
127,3.67,10,2.18,0.973511,0.661828,3.88785,,0.451948,0.10275
128,1.77,10,2.2,0.973524,-0.308552,0.839647,,0.135047,-0.091368
129,4.03,11,2.21,0.973477,-1.120853,5.094274,,0.869164,0.111806
130,2.31,10,2.21,0.973437,-0.033677,1.35322,,0.360867,-0.018819
131,2.14,9,2.23,0.97342,0.433227,2.134651,,0.15173,-0.043596
132,2.96,9,2.24,0.973385,-0.262769,1.650572,,0.216323,0.065973
133,6.24,13,2.26,0.973357,1.280042,9.642076,,1.171751,0.28333
134,3.66,12,2.28,0.973381,1.593205,5.049207,,0.959567,0.089645
135,4.75,12,2.3,0.973384,0.308212,2.108618,,1.206903,0.187342
136,2.2,9,2.32,0.973365,-0.669711,2.924872,,0.259219,-0.016807
137,2.58,9,2.33,0.973333,-0.304477,1.313945,,1.024682,0.015961
