episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
102,4.92,12,2.01,0.982439,1.569092,,1.549579,,
103,6.92,14,2.04,0.982433,5.842515,,1.609783,,
104,7.86,15,2.08,0.982461,7.943383,,1.702373,,
105,8.29,13,2.11,0.982413,10.225126,,1.847165,,
106,5.43,14,2.14,0.982406,1.949371,,1.863823,,
107,5.6,11,2.16,0.982371,2.510785,,1.901641,,
108,6.4,15,2.19,0.982371,3.072446,,1.933257,,
109,5.46,14,2.21,0.982338,-0.146997,,1.938483,,
110,12.22,18,2.23,0.982468,21.483213,,2.168951,,
111,1.8,11,2.23,0.982534,-10.901448,,2.045445,,
112,8.43,15,2.26,0.982497,6.689234,,2.151407,,
113,8.33,15,2.28,0.982498,9.042069,,2.25702,,
114,6.92,15,2.32,0.982574,3.41915,,2.282201,,
115,4.24,17,2.35,0.982642,-8.09066,,2.180631,,
116,8.51,19,2.39,0.982698,4.77702,,2.242796,,
117,8.49,15,2.42,0.982699,7.263805,,2.345796,,
118,6.23,11,2.44,0.98283,5.605006,,2.384521,,
119,5.62,13,2.46,0.982992,1.291649,,2.390318,,
120,9.92,18,2.49,0.983134,9.358863,,2.506176,,
121,9.06,16,2.53,0.983298,8.280619,,2.600673,,
122,9.17,15,2.56,0.983449,7.69918,,2.696493,,
123,8.62,13,2.58,0.983605,7.721151,,2.788423,,
124,5.25,9,2.59,0.98372,-0.889083,,2.783904,,
125,10.44,14,2.61,0.983819,10.904861,,2.92084,,
126,8.34,14,2.63,0.983851,2.791353,,2.969618,,
127,4.89,13,2.65,0.983908,-3.97907,,2.912863,,
128,10.92,14,2.68,0.983998,14.045835,,3.078423,,
129,6.02,13,2.71,0.984054,-2.866774,,3.048553,,
130,7.39,13,2.73,0.984063,0.71273,,3.068293,,
131,8.57,13,2.76,0.98407,5.160092,,3.133389,,
132,7.84,18,2.81,0.984062,-1.442439,,3.11937,,
133,9.41,13,2.84,0.984003,8.083104,,3.233976,,
134,14.57,30,2.9,0.983863,3.101902,,3.293653,,
135,6.66,18,2.93,0.983797,-4.066016,,3.227295,,
136,7.28,20,2.96,0.983749,-6.123639,,3.147519,,
137,6.47,16,2.99,0.983669,-3.754357,,3.109963,,
138,6.33,16,3.01,0.983587,-3.75932,,3.065878,,
139,5.59,12,3.02,0.983509,-1.884944,,3.042813,,
140,8.1,21,3.06,0.983445,-0.997864,,3.028734,,
141,6.14,13,3.1,0.98342,-0.766842,,3.011278,,
142,6.5,27,3.17,0.983502,-10.003985,,2.859658,,
143,6.69,22,3.22,0.98351,-5.282485,,2.810479,,
144,8.48,17,3.27,0.98355,3.426908,,2.845092,,
145,8.26,19,3.32,0.983547,-0.841557,,2.844473,,
146,10.86,15,3.35,0.9835,11.393268,,2.997944,,
147,12.84,17,3.4,0.983401,14.3793,,3.192177,,
148,24.13,35,3.47,0.983544,28.90757,,3.490611,,
149,8.16,15,3.51,0.983654,1.291149,,3.512249,,
150,14.69,35,3.58,0.983744,6.651091,,3.598489,,
151,8.21,18,3.62,0.98377,-3.218097,,3.573027,,
152,22.48,47,3.7,0.983795,11.057147,,3.711243,,
153,5.06,12,3.74,0.983797,-5.944555,,3.642902,,
154,21.99,33,3.81,0.983801,22.063667,,3.919911,,
155,12.14,16,3.83,0.983767,10.741248,,4.064158,,
156,26.0,33,3.9,0.983703,30.439386,,4.452934,,
157,7.81,22,3.96,0.983683,-7.736106,,4.347059,,
158,13.18,16,3.99,0.983701,12.596058,,4.493811,,
159,8.93,16,4.02,0.983635,-6.213699,,4.439864,,
160,6.31,12,4.03,0.983623,-4.14081,,4.374344,,
161,14.67,30,4.14,0.983571,5.740034,,4.45764,,
162,11.33,19,4.18,0.983529,5.90023,,4.529428,,
163,6.23,12,4.21,0.983482,-8.440251,,4.427184,,
164,15.09,19,4.25,0.983386,13.617617,,4.612898,,
165,9.59,22,4.29,0.983234,-5.921395,,4.557414,,
166,7.04,12,4.31,0.983052,-4.506203,,4.513065,,
167,6.79,11,4.33,0.982939,-2.685366,,4.464677,,
168,11.25,15,4.35,0.982792,5.681012,,4.548129,,
169,19.4,27,4.4,0.982754,21.062853,,4.784564,,
170,7.04,26,4.45,0.982628,-22.123075,,4.535381,,
171,8.01,13,4.47,0.982508,-2.488964,,4.507479,,
172,6.61,11,4.5,0.982418,-5.126255,,4.436791,,
173,32.29,39,4.61,0.982288,40.526272,,4.957716,,
174,6.22,14,4.66,0.982075,-14.23739,,4.811378,,
175,5.87,12,4.69,0.981876,-8.488708,,4.706992,,
176,32.54,49,4.79,0.981601,24.683422,,5.046542,,
177,12.55,17,4.82,0.981434,9.801466,,5.146915,,
178,10.51,15,4.85,0.981298,0.760778,,5.151451,,
179,7.27,15,4.89,0.981222,-6.911654,,5.049286,,
180,12.91,14,4.92,0.981301,13.622482,,5.17176,,
181,32.23,48,5.03,0.981513,33.450523,,5.540724,,
182,21.92,33,5.1,0.981652,13.236297,,5.724627,,
183,6.1,35,5.19,0.981796,-22.832287,,5.43241,,
184,9.77,14,5.22,0.981901,-2.571497,,5.407995,,
185,27.26,56,5.34,0.98196,18.76268,,5.65422,,
186,24.68,29,5.4,0.981966,19.297363,,5.912343,,
187,23.39,24,5.46,0.981895,23.62368,,6.235288,,
188,6.39,30,5.52,0.981843,-26.886328,,5.893293,,
189,12.45,14,5.55,0.981863,6.818971,,5.953663,,
190,7.8,27,5.6,0.981886,-21.836006,,5.678144,,
191,13.29,28,5.65,0.981859,-6.879825,,5.609437,,
192,25.6,33,5.7,0.981786,21.486204,,5.895725,,
193,3.98,21,5.76,0.981679,-30.374191,,5.532076,,
194,3.69,45,5.85,0.981509,-33.828194,,5.134442,,
195,2.09,39,5.94,0.981279,-35.202522,,4.721768,,
196,6.27,24,5.99,0.98115,-17.924879,,4.46746,,
197,24.1,34,6.07,0.981048,28.292221,,4.81454,,
198,35.42,48,6.19,0.980865,35.888981,,5.299277,,
199,13.25,35,6.26,0.980672,-11.251872,,5.171176,,
200,19.53,25,6.31,0.980604,19.208935,,5.37537,,
201,36.63,40,6.67,0.980413,43.213905,,5.969517,,
202,25.87,33,6.72,0.980257,19.795712,,6.210686,,
203,59.28,59,6.86,0.979949,72.078514,,7.185372,,
204,7.93,12,6.89,0.979747,-10.297484,,7.02604,,
205,52.42,41,7.0,0.979605,72.414009,,7.918073,,
206,10.81,19,7.05,0.979453,-14.916269,,7.740828,,
207,9.85,13,7.11,0.979333,-9.322074,,7.616829,,
208,9.09,11,7.15,0.9792,-11.392665,,7.484545,,
209,9.98,17,7.19,0.979041,-10.966729,,7.362958,,
210,44.09,62,7.33,0.97892,47.097263,,7.945621,,
211,8.94,11,7.38,0.978841,-11.706533,,7.785549,,
212,9.62,12,7.41,0.978835,-7.143659,,7.668695,,
213,29.91,37,7.5,0.978793,18.19643,,7.913178,,
214,12.35,18,7.55,0.978811,-4.761314,,7.830043,,
215,11.18,13,7.58,0.97879,-8.692451,,7.736232,,
216,28.71,29,7.67,0.978768,22.607117,,8.021444,,
217,10.15,12,7.71,0.978709,-10.182014,,7.910457,,
218,29.75,29,7.8,0.978678,26.213058,,8.230388,,
219,11.32,16,7.86,0.978651,-9.661037,,8.108407,,
220,6.11,10,7.89,0.978621,-21.321356,,7.842858,,
221,31.94,31,7.99,0.978624,29.578247,,8.20171,,
222,30.78,31,8.09,0.978604,23.131275,,8.501774,,
223,9.97,12,8.13,0.978589,-12.572574,,8.342694,,
224,9.67,13,8.17,0.978603,-12.63142,,8.172687,,
225,10.16,16,8.21,0.978639,-11.635142,,8.016571,,
226,8.54,13,8.23,0.978692,-15.886559,,7.808475,,
227,8.82,11,8.25,0.978766,-11.295527,,7.655206,,
228,19.45,34,8.32,0.978813,-2.221544,,7.635293,,
229,15.86,54,8.43,0.978888,-20.528955,,7.364055,,
230,27.64,46,8.51,0.978983,13.00869,,7.51588,,
231,21.89,24,8.57,0.979024,11.489434,,7.679333,,
232,26.94,27,8.62,0.979043,19.970854,,7.937438,,
233,40.43,43,8.72,0.978955,42.024166,,8.509496,,
234,38.92,35,8.8,0.978847,39.930801,,9.022744,,
235,30.9,39,8.89,0.978807,20.01494,,9.249984,,
236,23.52,24,8.94,0.978702,10.97198,,9.417329,,
237,9.97,12,8.97,0.978609,-15.9262,,9.216413,,
238,35.26,47,9.04,0.978516,23.956024,,9.521093,,
239,24.86,36,9.13,0.978414,3.427434,,9.57248,,
240,24.96,30,9.18,0.978327,10.547174,,9.702814,,
241,31.05,40,9.25,0.978213,11.904091,,9.867079,,
242,32.87,34,9.31,0.97811,18.198383,,10.096346,,
243,29.62,30,9.36,0.978035,16.989775,,10.301053,,
244,23.22,26,9.41,0.977966,3.320763,,10.34362,,
245,5.83,11,9.43,0.977721,-38.571957,,9.942629,,
246,35.14,34,9.48,0.977445,29.315861,,10.336529,,
247,10.04,14,9.49,0.977246,-19.182226,,10.074582,,
248,8.46,13,9.51,0.976968,-28.522757,,9.761974,,
249,25.92,26,9.55,0.976772,18.546907,,9.970317,,
250,34.74,35,9.61,0.976597,30.452312,,10.353174,,
251,11.97,14,9.65,0.976452,-14.894937,,10.160647,,
252,14.07,40,9.73,0.976312,-29.251001,,9.79663,,
253,11.59,14,9.76,0.976156,-15.672071,,9.612718,,
254,47.97,44,9.87,0.975956,46.686974,,10.227178,,
255,39.02,38,9.91,0.975778,29.551649,,10.602763,,
256,29.04,31,9.96,0.975713,19.690083,,10.806856,,
257,27.27,28,10.01,0.975649,7.830715,,10.908039,,
258,42.03,41,10.1,0.975578,31.721392,,11.314657,,
259,36.55,34,10.16,0.975456,22.142572,,11.619935,,
