episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
102,5.93,11,2.26,0.981858,0.324428,,2.878264,,
103,4.22,11,2.28,0.981957,-0.370355,,1.355932,,
104,4.77,11,2.3,0.981924,-1.480728,,1.719746,,
105,5.14,13,2.32,0.981906,0.05965,,1.730383,,
106,8.08,13,2.34,0.981881,-0.063248,,4.416451,,
107,4.34,11,2.35,0.981846,-0.186803,,1.508941,,
108,8.16,13,2.38,0.981821,0.050573,,4.275867,,
109,5.52,10,2.4,0.981734,-0.788521,,2.523332,,
110,5.56,11,2.41,0.981616,-0.585374,,2.625478,,
111,3.7,10,2.43,0.981516,0.067013,,1.228433,,
112,2.73,10,2.44,0.981425,-0.005512,,0.462306,,
113,4.49,11,2.47,0.981312,-0.42645,,1.719494,,
114,6.09,12,2.49,0.981187,-0.27597,,2.752311,,
115,5.21,11,2.51,0.981178,1.393733,,2.175783,,
116,4.45,11,2.53,0.981086,-1.074609,,1.524417,,
117,2.93,7,2.55,0.981055,0.717964,,1.200937,,
118,6.76,11,2.59,0.981028,0.035378,,3.415788,,
119,4.43,10,2.61,0.980977,-0.337403,,1.902666,,
120,6.55,14,2.65,0.980984,0.655362,,2.461797,,
121,5.98,12,2.68,0.980976,-0.267792,,2.544986,,
122,6.43,12,2.71,0.981005,0.464825,,3.342915,,
123,3.82,10,2.73,0.981065,0.467838,,1.340747,,
124,6.44,13,2.76,0.981156,0.496257,,2.813501,,
125,5.6,13,2.79,0.9812,-0.509961,,2.097577,,
126,7.54,13,2.82,0.981232,-0.07924,,3.769006,,
127,4.58,11,2.84,0.981274,0.156779,,1.809112,,
128,5.04,10,2.87,0.981326,0.168991,,2.39364,,
129,5.97,13,2.89,0.98136,-0.179793,,2.745859,,
130,6.66,13,2.92,0.981343,-0.610086,,3.071272,,
131,6.4,13,2.94,0.981296,-0.508768,,2.842518,,
132,3.6,11,2.96,0.981193,-0.797562,,0.767818,,
133,5.25,12,2.98,0.981128,0.350076,,2.289214,,
134,5.9,13,3.01,0.981068,-0.077408,,2.629489,,
135,3.91,10,3.03,0.981005,-0.159692,,1.508493,,
136,5.81,13,3.07,0.980975,0.362082,,2.466624,,
137,6.35,14,3.09,0.980926,-0.243439,,2.801894,,
138,3.71,11,3.1,0.980861,-0.263738,,0.785559,,
139,4.93,12,3.13,0.980871,0.940003,,1.995502,,
140,6.92,13,3.15,0.980837,-0.636066,,3.578313,,
141,4.63,11,3.18,0.980845,0.546998,,2.000457,,
142,4.48,12,3.2,0.98084,-0.154831,,1.665673,,
143,3.9,11,3.22,0.980794,-0.590909,,1.477713,,
144,3.95,11,3.25,0.980709,-0.622416,,1.156834,,
145,6.03,13,3.28,0.980604,-0.436747,,2.702596,,
146,3.87,11,3.29,0.980498,-0.159178,,1.164189,,
147,6.48,13,3.31,0.980442,0.551654,,2.87845,,
148,5.37,12,3.33,0.98037,-0.27234,,2.43249,,
149,2.45,11,3.34,0.980279,-0.381592,,0.033684,,
150,6.35,13,3.36,0.980201,0.055042,,2.898936,,
151,4.91,12,3.38,0.980246,1.700618,,1.896071,,
152,3.47,10,3.4,0.980267,-0.291095,,0.894006,,
153,3.03,10,3.42,0.980349,0.899836,,0.717101,,
154,3.13,11,3.43,0.980423,0.04266,,0.487576,,
155,3.3,11,3.44,0.980476,-0.207,,0.679439,,
156,2.89,10,3.46,0.980496,-0.388747,,0.653547,,
157,2.64,11,3.48,0.980485,-0.433108,,0.283005,,
158,5.05,11,3.5,0.980467,-0.085561,,2.212673,,
159,3.71,11,3.52,0.980427,-0.289643,,1.212167,,
160,6.09,13,3.53,0.980419,0.428048,,2.589218,,
161,5.07,13,3.56,0.980397,-0.195834,,1.863285,,
162,6.36,13,3.58,0.980309,-0.937139,,2.970992,,
163,6.16,12,3.59,0.980298,0.990501,,2.831714,,
164,6.63,13,3.61,0.980343,0.734549,,3.004954,,
165,6.09,13,3.62,0.98035,-0.488667,,2.558901,,
166,5.97,13,3.65,0.980298,-0.862915,,2.668342,,
167,5.48,12,3.67,0.980281,0.437305,,2.476891,,
168,6.01,13,3.69,0.980287,0.277442,,2.676417,,
169,6.37,13,3.71,0.980294,0.005738,,2.857121,,
170,7.64,15,3.74,0.980388,1.22718,,3.199973,,
171,6.99,13,3.76,0.980493,0.305095,,3.382061,,
172,7.1,13,3.78,0.980607,0.299074,,3.436549,,
173,6.68,14,3.8,0.980685,-0.337549,,2.766636,,
174,7.17,14,3.83,0.980742,-0.098604,,3.289503,,
175,6.08,13,3.85,0.980806,0.197575,,2.590008,,
176,2.81,7,3.87,0.98087,0.133271,,1.153075,,
177,6.43,13,3.89,0.980886,-0.570025,,3.033808,,
178,5.88,13,3.92,0.980933,0.344866,,2.547148,,
179,6.83,13,3.94,0.980945,-0.412993,,3.295026,,
180,7.08,14,3.97,0.980922,-0.438564,,3.337519,,
181,6.17,13,3.99,0.980918,0.200518,,2.781386,,
182,9.39,15,4.02,0.980925,0.182492,,4.943612,,
183,6.49,13,4.05,0.980916,-0.202787,,3.094153,,
184,10.19,16,4.09,0.980922,0.15566,,5.274534,,
185,6.43,13,4.12,0.980931,0.105674,,2.860331,,
186,6.38,14,4.15,0.980948,0.078858,,2.667348,,
187,6.41,13,4.18,0.98093,-0.445492,,2.774893,,
188,3.61,9,4.2,0.980917,0.107375,,1.489145,,
189,6.44,12,4.21,0.980887,-0.250682,,2.839132,,
190,2.99,7,4.21,0.980858,0.004837,,1.269404,,
191,7.31,14,4.26,0.980706,-1.83037,,3.654881,,
192,3.38,10,4.28,0.980564,-0.118286,,1.042722,,
193,5.33,12,4.29,0.980438,0.014763,,2.461172,,
