episode,return,length,wall_time,sigma_mean,actor_loss,critic_loss,baseline,mean_value,mean_td_error
91,3.66,11,3.3,0.980064,0.184407,1.093452,,0.707632,
92,3.81,11,3.35,0.980055,-0.78817,1.396233,,1.340319,
93,3.35,11,3.4,0.98004,-2.828191,1.207248,,1.132758,
94,2.93,9,3.43,0.980025,-1.042212,0.36943,,0.897453,
95,3.0,9,3.47,0.980011,-1.302972,0.733646,,1.080374,
96,2.53,10,3.5,0.979987,-2.239186,1.140214,,0.397716,
97,3.91,10,3.55,0.979979,2.643403,1.462181,,0.91945,
98,2.49,10,3.59,0.979938,-1.566915,0.864458,,0.447673,
99,4.56,11,3.64,0.979916,5.828869,2.251292,,0.4918,
100,4.62,11,3.69,0.979876,4.415345,2.975371,,0.694351,
101,2.72,10,3.88,0.979835,-0.707526,0.70454,,0.333106,
102,3.14,10,3.91,0.979798,1.46412,0.694298,,0.449297,
103,3.84,8,3.94,0.979782,5.024363,2.661532,,0.576888,
104,3.85,10,3.98,0.979773,-0.430772,0.226168,,1.508474,
105,4.24,11,4.03,0.979748,3.595807,1.426467,,0.717837,
106,3.42,10,4.06,0.979759,2.403288,1.252657,,0.687934,
107,4.13,11,4.15,0.979755,2.797289,1.743951,,0.767946,
108,3.83,10,4.19,0.979763,0.588911,0.709775,,1.311729,
109,3.78,10,4.23,0.979782,-1.243152,0.514926,,1.671357,
110,6.27,11,4.28,0.979936,9.539641,8.208314,,1.378718,
111,3.79,10,4.32,0.980058,0.471895,0.951096,,1.209249,
112,2.31,10,4.36,0.980106,-8.469763,4.734294,,1.769584,
113,2.51,9,4.4,0.980127,-4.625025,1.468161,,1.420503,
114,5.16,11,4.43,0.980106,2.429767,2.705011,,1.413311,
115,2.89,10,4.47,0.980018,-5.593935,2.037088,,1.546715,
116,4.87,11,4.51,0.979928,-0.183099,0.973465,,1.777275,
117,3.6,10,4.55,0.979872,-2.069108,0.784506,,1.811504,
118,5.05,11,4.6,0.979829,0.163975,2.913193,,2.170037,
119,4.53,12,4.65,0.979802,4.086707,6.084972,,0.485212,
120,4.34,10,4.68,0.979753,-1.673265,0.56682,,2.013667,
121,4.91,11,4.73,0.979702,4.1341,2.865957,,0.947698,
122,3.97,10,4.76,0.979663,-0.34663,0.611412,,1.646524,
123,4.69,11,4.8,0.979618,-0.492453,0.877734,,1.828805,
124,7.53,14,4.85,0.979526,13.145983,20.529989,,0.059927,
125,4.08,7,4.87,0.979485,-5.49992,6.693998,,3.558912,
126,4.46,10,4.93,0.979487,2.981004,1.532024,,1.204941,
127,5.32,10,4.97,0.979506,0.924944,1.626015,,2.271817,
128,3.81,11,5.0,0.979547,-3.211253,2.005589,,1.858611,
129,4.72,12,5.05,0.979581,2.288687,1.55202,,1.39857,
130,6.37,11,5.09,0.979549,1.316688,7.429505,,2.222398,
131,6.61,13,5.13,0.979522,2.344599,3.612416,,2.455738,
132,4.38,9,5.16,0.979521,-0.419636,1.174778,,2.189608,
133,6.13,12,5.2,0.979526,3.888113,2.569375,,1.988304,
134,2.73,9,5.23,0.979518,-3.390755,1.372291,,1.406685,
135,8.59,12,5.27,0.979416,11.652527,14.682807,,1.544337,
136,9.93,14,5.32,0.979375,17.052835,19.397459,,1.472308,
137,7.92,14,5.36,0.979303,5.870057,10.996315,,2.046783,
138,7.53,13,5.41,0.979219,5.303118,3.756421,,2.354754,
139,7.74,13,5.46,0.979187,7.84548,8.398065,,1.923091,
140,5.49,12,5.52,0.979165,-1.820536,1.782308,,2.620144,
141,5.17,12,5.55,0.979146,-4.59049,3.422954,,3.068654,
142,2.97,10,5.59,0.979105,-6.615571,3.294255,,1.981639,
143,5.84,13,5.64,0.979084,-3.684601,4.638233,,3.307016,
144,5.74,12,5.68,0.979073,-2.163312,1.241206,,2.944529,
145,5.76,13,5.72,0.979091,-3.348818,2.530172,,2.983476,
146,5.76,11,5.75,0.979145,-3.21015,3.38223,,3.770354,
147,7.17,15,5.78,0.979127,-2.531706,3.362705,,2.84068,
148,3.79,10,5.8,0.979132,-1.927075,1.288775,,1.944562,
149,5.68,12,5.83,0.979139,0.588873,2.321426,,2.248959,
150,4.76,10,5.87,0.979125,-5.155982,2.396963,,3.161481,
151,7.77,14,5.9,0.979109,2.538437,3.154041,,2.857757,
152,4.87,12,5.93,0.979053,-3.423091,4.74198,,2.249064,
153,4.21,9,5.95,0.978993,-2.048139,0.927221,,2.320768,
154,6.45,12,5.99,0.978925,-0.058877,1.648515,,2.90426,
155,7.31,13,6.02,0.978847,4.257896,4.224701,,2.350988,
156,6.46,13,6.06,0.978767,0.939108,3.482186,,2.296203,
157,4.39,9,6.09,0.978766,1.105488,6.667285,,1.970653,
158,8.73,14,6.13,0.978765,2.437092,9.854515,,3.462881,
159,5.84,12,6.15,0.978759,0.511368,6.833908,,2.349635,
160,5.04,11,6.18,0.978738,1.207379,2.827064,,1.548104,
161,6.05,13,6.21,0.978717,-0.479883,2.366749,,2.349761,
162,5.09,12,6.24,0.978723,0.236947,2.399685,,1.991664,
163,4.52,9,6.26,0.97869,-2.402423,5.374863,,2.27682,
164,5.99,12,6.29,0.978657,0.033254,1.620904,,2.484446,
165,5.81,10,6.31,0.978625,4.440785,5.809716,,1.514169,
166,4.38,9,6.34,0.978583,-0.573133,2.693603,,1.946722,
167,4.3,8,6.36,0.978597,-7.126296,11.425042,,4.045709,
168,3.75,8,6.38,0.978621,0.786273,1.932528,,1.448229,
169,4.69,10,6.4,0.978628,-10.7505,13.839972,,4.342422,
170,5.59,11,6.43,0.978681,-0.092277,2.92203,,2.522997,
171,4.48,8,6.45,0.978794,-3.519845,7.770279,,3.303388,
172,7.44,13,6.49,0.978896,2.094816,8.350752,,2.824991,
173,5.95,10,6.51,0.978894,-7.916646,9.000107,,3.868787,
174,6.24,12,6.54,0.978885,0.361245,4.839804,,2.355536,
175,5.51,10,6.57,0.978874,1.446979,6.422202,,2.187598,
176,6.92,13,6.6,0.97885,1.019203,3.522725,,2.724845,
177,6.67,12,6.63,0.978795,3.047029,5.009528,,2.078959,
178,7.01,11,6.64,0.978743,-1.222549,5.270328,,3.732183,
179,6.09,10,6.67,0.978705,-1.158217,4.672685,,3.345394,
180,5.59,12,6.69,0.978693,1.240985,4.067772,,2.254091,
181,5.88,10,6.72,0.978673,3.19598,2.95015,,1.723787,
182,6.65,13,6.75,0.978567,-5.205626,11.677169,,3.19652,
183,7.79,12,6.77,0.978585,15.479907,11.706344,,1.210254,
184,6.02,10,6.8,0.97859,-2.251032,5.977397,,3.302628,
185,6.83,12,6.82,0.978592,1.96063,3.171359,,2.606923,
186,4.44,11,6.85,0.978591,-1.376678,1.371063,,2.017982,
187,4.76,9,6.87,0.978588,-0.254682,3.325377,,2.141219,
188,5.03,11,6.9,0.978594,-2.244408,0.497357,,2.475233,
189,8.88,13,6.92,0.978619,9.098428,8.596,,2.639822,
190,7.99,13,6.94,0.978624,3.996496,3.439167,,2.906276,
191,6.7,11,6.95,0.978617,5.781183,6.127789,,1.741805,
192,4.88,10,6.98,0.978629,-3.795723,2.049196,,3.052948,
193,7.34,13,7.01,0.97863,4.760977,2.939365,,2.138148,
194,8.15,15,7.04,0.978622,6.123991,5.880157,,1.866049,
195,4.67,11,7.07,0.978627,-3.753422,1.268854,,2.72487,
196,7.65,13,7.15,0.978603,3.90763,2.557968,,2.620645,
197,11.45,14,7.18,0.978742,24.398739,39.461891,,1.288761,
198,5.83,12,7.2,0.978872,-2.16181,1.035761,,2.925074,
199,6.9,13,7.23,0.978983,-0.810512,1.685211,,3.423542,
200,5.6,11,7.25,0.979139,1.369616,2.065424,,2.557479,
201,7.61,13,7.38,0.979282,-0.042733,1.988783,,3.676161,
202,9.02,14,7.42,0.979412,-1.929744,7.010942,,4.730147,
203,25.44,29,7.47,0.979593,36.328278,158.5504,,2.195877,
204,5.02,11,7.5,0.979752,-6.715424,2.915012,,3.481907,
205,7.06,11,7.52,0.979917,-2.354692,3.06276,,4.286194,
206,5.54,12,7.54,0.980049,-2.650546,4.109212,,3.065518,
207,4.89,11,7.57,0.980116,-7.036757,3.071753,,3.231175,
208,6.55,14,7.6,0.980209,-6.952892,8.010784,,4.143114,
209,8.12,11,7.65,0.980279,-0.303743,2.916939,,4.359575,
210,10.84,13,7.69,0.980415,14.199666,15.759787,,2.955363,
211,4.24,11,7.72,0.980493,-10.280376,6.195497,,3.578012,
212,12.51,17,7.77,0.980599,16.407415,28.022142,,3.236729,
213,7.67,10,7.8,0.980672,2.486904,4.023342,,3.468077,
214,4.36,8,7.82,0.980761,-8.386362,5.372067,,4.25206,
215,27.49,29,7.89,0.981076,43.093601,173.422089,,3.16949,
216,7.83,13,7.91,0.981363,0.567762,3.890039,,3.780498,
217,7.17,11,7.94,0.981648,-4.344363,7.023906,,4.753104,
218,4.88,10,7.95,0.981898,-7.539029,3.593755,,3.900213,
219,6.62,13,7.98,0.98212,-1.808417,1.289629,,3.433737,
220,7.43,12,8.0,0.982299,-4.164971,3.668298,,4.545079,
221,9.74,12,8.03,0.982482,8.759469,7.488315,,3.533338,
222,9.54,11,8.05,0.982693,12.924161,12.933043,,2.757857,
223,6.39,13,8.09,0.982856,-5.468404,2.231285,,3.671261,
224,10.35,12,8.13,0.982931,9.273213,16.655525,,3.107698,
225,7.48,14,8.15,0.982981,4.299867,11.97766,,1.656474,
226,3.31,7,8.17,0.98297,-8.140208,8.699708,,3.014997,
227,26.95,29,8.22,0.983078,32.304508,100.287109,,4.139117,
228,31.41,30,8.28,0.983077,37.447697,156.547287,,4.638834,
229,7.45,12,8.3,0.983065,-7.033696,9.920567,,5.105447,
230,28.91,30,8.35,0.982914,32.659069,172.455551,,4.489769,
231,3.68,8,8.37,0.982759,-5.5223,6.915457,,2.615683,
232,10.44,11,8.39,0.982649,14.567822,14.686451,,3.050541,
233,7.43,12,8.41,0.982532,-3.604815,5.622025,,4.089469,
234,8.27,12,8.44,0.982415,2.058337,4.734787,,3.417727,
235,34.59,32,8.49,0.982277,39.287556,207.960571,,6.048414,
236,9.2,12,8.51,0.982149,0.591392,5.886112,,5.048902,
237,10.03,12,8.54,0.982017,1.787169,6.776659,,5.062294,
238,8.31,13,8.56,0.981882,-3.133952,3.610882,,4.909772,
239,31.03,31,8.65,0.981694,29.436995,116.961128,,6.308533,
240,31.27,30,8.76,0.981521,30.899361,131.338501,,7.204138,
241,31.26,30,8.84,0.98132,32.014633,117.506599,,5.992671,
242,41.19,35,8.93,0.981085,60.774288,341.38269,,3.384889,
243,9.99,12,8.97,0.980866,3.620019,4.852023,,4.852149,
244,12.36,13,9.0,0.980695,8.816818,17.274986,,5.156462,
245,19.59,18,9.05,0.980728,22.468971,59.436836,,7.057372,
246,7.79,11,9.08,0.980731,-13.284821,13.811419,,7.172322,
247,8.25,11,9.12,0.980704,-10.90944,11.296964,,6.951355,
248,26.96,28,9.18,0.980745,29.333908,107.198441,,5.797916,
249,6.65,11,9.2,0.980822,-10.166318,10.892323,,5.704798,
250,25.03,28,9.27,0.980959,16.578793,48.951702,,6.762366,
251,23.25,25,9.32,0.981041,14.200301,48.271175,,6.742671,
252,7.65,11,9.35,0.981056,-15.641391,15.513373,,7.530624,
253,9.95,12,9.38,0.98111,-3.70921,15.065933,,6.737154,
254,8.82,11,9.41,0.981173,-11.271168,10.958131,,7.569417,
255,7.15,10,9.43,0.981281,-17.368366,26.681423,,8.294596,
256,9.63,11,9.46,0.981384,-5.690848,6.158618,,7.085388,
257,10.03,11,9.48,0.981489,-1.874079,3.259438,,6.458861,
258,30.32,30,9.56,0.981549,23.687929,93.991203,,7.974211,
259,9.94,11,9.58,0.981612,-3.636352,4.191667,,6.831366,
260,9.72,18,9.63,0.981712,-5.801161,18.939602,,5.801414,
261,9.7,11,9.67,0.981775,-6.478433,4.62568,,7.002984,
262,24.16,27,9.75,0.98181,14.828574,43.195705,,6.665246,
263,32.83,31,9.82,0.981841,23.591183,101.514961,,9.319105,
264,9.72,11,9.85,0.981877,-4.331343,3.873232,,6.733405,
265,14.68,15,9.88,0.981858,8.468581,18.326387,,6.025388,
266,28.37,29,9.95,0.981814,16.624638,71.77211,,8.835066,
267,29.17,30,10.03,0.981886,35.30946,126.612114,,4.880598,
268,30.73,30,10.12,0.98189,21.102137,78.273384,,8.237527,
269,33.31,32,10.18,0.981892,25.559608,109.178131,,9.351159,
270,8.03,10,10.2,0.981915,-9.873091,9.2699,,7.045357,
271,9.48,12,10.23,0.981955,-7.494141,6.629844,,7.169998,
272,9.45,11,10.26,0.982031,-5.755445,6.119095,,7.143248,
273,30.72,31,10.32,0.982109,21.378347,74.381668,,8.370256,
274,9.49,17,10.36,0.982161,-13.692728,20.910797,,7.359239,
275,34.76,32,10.43,0.982227,27.795322,113.366982,,9.782186,
276,28.85,30,10.5,0.982242,12.28279,56.597336,,8.888511,
277,29.4,29,10.6,0.982145,15.825088,63.402725,,8.655578,
278,10.9,18,10.65,0.982091,-9.399131,12.850361,,7.461173,
279,9.87,14,10.69,0.982031,-8.702365,15.348633,,7.476183,
280,38.17,32,10.8,0.982038,37.25872,129.827148,,10.749802,
281,36.04,33,10.89,0.982001,24.567568,107.878868,,10.713522,
282,21.0,24,10.94,0.981999,3.253904,35.752846,,8.572587,
283,50.51,40,11.03,0.982024,57.739197,346.089905,,10.008551,
284,36.62,33,11.11,0.98217,30.207256,108.150681,,11.20665,
285,29.06,29,11.18,0.982224,13.031217,50.63802,,9.092272,
286,26.01,29,11.24,0.982267,3.914793,37.628262,,9.748899,
287,18.32,26,11.3,0.982322,-3.34319,36.566193,,9.2868,
288,41.68,34,11.38,0.982255,37.121975,161.073578,,11.297194,
289,32.79,31,11.45,0.982201,19.88714,77.547905,,11.279367,
290,25.33,27,11.5,0.982123,4.282486,32.267555,,10.030297,
291,26.76,27,11.56,0.982032,6.26362,36.734268,,10.428083,
292,28.76,29,11.63,0.981984,6.222122,38.487404,,11.531403,
293,20.26,27,11.7,0.981888,-2.068362,25.798801,,9.734748,
294,34.03,32,11.77,0.981775,10.145291,71.357964,,12.904672,
295,27.02,28,11.83,0.981647,3.18441,35.090294,,10.59622,
296,29.22,28,11.89,0.981549,9.503691,39.412102,,11.182714,
297,27.62,29,11.94,0.981455,1.61257,33.630276,,11.455447,
298,27.28,29,11.99,0.981383,4.710339,29.279224,,10.33182,
299,31.02,30,12.04,0.981338,8.40531,45.749527,,12.064837,
300,30.85,30,12.1,0.98124,0.911068,49.749424,,13.710098,
301,29.1,28,12.42,0.981106,5.464944,33.444836,,11.577765,
302,30.99,30,12.46,0.980995,3.530972,50.151894,,13.660277,
303,36.31,33,12.52,0.98105,21.565054,73.933731,,13.675205,
304,26.57,28,12.6,0.981066,-5.228303,28.636444,,12.594027,
305,41.42,35,12.68,0.981101,28.029673,106.681023,,13.407134,
306,13.24,14,12.72,0.981192,-4.538262,16.643757,,9.100139,
307,25.0,28,12.78,0.981346,-4.492579,37.839813,,12.049995,
308,57.63,45,12.89,0.981333,58.586372,366.059631,,12.355915,
309,30.6,30,12.96,0.981317,3.671667,35.498615,,12.799424,
310,35.03,32,13.04,0.981252,12.862785,58.499035,,13.578265,
311,34.99,33,13.12,0.981138,9.273818,59.923351,,13.578613,
312,44.48,38,13.21,0.981031,25.607103,127.140968,,14.861055,
313,37.6,34,13.28,0.980924,16.584185,74.117577,,13.682442,
314,29.07,30,13.35,0.980796,-2.695823,29.686775,,12.881657,
315,44.82,36,13.42,0.980672,35.445446,177.434448,,12.274252,
316,28.7,29,13.49,0.980531,-3.414818,28.372023,,12.947877,
317,13.31,15,13.53,0.980413,-14.290289,17.788975,,11.221631,
318,76.68,46,13.63,0.980216,109.315186,926.546204,,13.816285,
319,40.67,36,13.72,0.98004,19.618065,87.795753,,14.465471,
320,15.33,15,13.76,0.979794,-13.227754,21.708324,,11.281272,
321,39.65,34,13.84,0.979563,16.859665,79.186974,,15.332839,
322,31.57,31,13.91,0.979387,-1.712318,41.117451,,15.424504,
323,19.95,21,13.97,0.979193,5.132709,30.873873,,9.01989,
324,32.38,31,14.17,0.978946,-8.371015,44.234238,,16.096121,
325,38.33,34,14.29,0.97873,16.661856,77.783409,,13.475362,
326,32.24,31,14.38,0.978546,0.86652,37.799301,,14.569013,
327,57.04,45,14.49,0.978257,41.811344,307.795197,,13.945204,
328,49.06,42,14.55,0.977965,30.567139,153.722351,,15.372694,
329,55.18,44,14.62,0.977657,43.047672,253.160599,,16.39015,
330,29.04,29,14.69,0.977329,-16.170235,48.490494,,16.808685,
331,74.31,50,14.8,0.976864,86.35675,634.293152,,14.182228,
332,30.17,30,14.85,0.976406,-16.073639,48.328808,,17.370214,
333,40.87,36,14.92,0.976029,13.841724,79.420097,,16.955381,
334,38.32,34,14.99,0.97564,6.43038,53.772324,,16.788912,
335,27.39,29,15.05,0.975324,-18.888351,54.169498,,17.402029,
336,27.36,29,15.1,0.974949,-18.545485,37.610504,,15.459385,
337,85.94,63,15.23,0.974648,97.095596,873.088806,,13.620196,
338,43.0,35,15.28,0.974357,20.936684,71.781616,,16.781199,
339,66.96,50,15.37,0.974263,66.13488,405.677643,,16.649836,
340,27.75,29,15.4,0.974154,-22.79388,60.545792,,17.702295,
341,51.15,41,15.49,0.974021,30.572956,150.64711,,17.655241,
342,69.91,50,15.57,0.97389,68.2742,465.246887,,17.637611,
343,27.33,30,15.62,0.973753,-16.749811,34.377491,,15.989212,
344,66.84,50,15.85,0.973703,61.648438,366.603058,,17.539074,
345,78.56,54,15.99,0.973563,81.823914,629.905823,,16.452408,
346,28.66,29,16.06,0.973415,-21.947659,56.198917,,18.288866,
347,69.49,51,16.18,0.973298,75.782341,432.298645,,15.79495,
348,35.76,42,16.25,0.973232,21.687845,71.833969,,9.731407,
349,81.03,57,16.34,0.973103,78.275314,651.945312,,18.384249,
350,62.9,47,16.43,0.973155,63.373611,306.098358,,17.70223,
351,59.08,47,16.52,0.973151,28.650053,224.354324,,20.391376,
352,29.55,31,16.58,0.973078,-3.415632,92.626091,,13.576459,
353,57.44,45,16.67,0.973038,41.888718,191.519684,,18.733011,
354,52.89,43,16.77,0.972935,25.083073,140.032471,,19.463474,
355,76.92,56,16.89,0.973013,73.244667,512.651794,,18.886221,
356,65.12,48,16.99,0.973229,60.418438,316.630524,,18.604624,
357,21.77,25,17.03,0.973427,-34.414932,111.967171,,17.785227,
358,48.35,41,17.12,0.973611,11.305716,86.884438,,20.989676,
359,59.26,46,17.2,0.97369,32.596146,200.174026,,20.062101,
360,52.61,43,17.26,0.973733,13.170765,122.622238,,21.651009,
361,62.64,48,17.34,0.973647,30.72419,250.502121,,21.808899,
362,91.64,63,17.47,0.973582,85.865295,797.177429,,20.000477,
363,41.23,37,17.52,0.973572,-8.209026,90.205795,,22.410391,
364,47.14,41,17.58,0.973607,1.274154,99.502289,,22.512676,
365,58.42,47,17.65,0.973561,25.399141,185.195099,,20.698662,
366,53.57,45,17.7,0.97343,9.353001,126.471474,,21.799835,
367,78.45,58,17.81,0.97333,65.687645,482.974823,,18.734663,
368,61.69,48,17.9,0.97317,20.549612,210.745651,,23.364801,
369,75.35,58,17.97,0.973037,60.149426,391.981171,,20.096298,
370,78.91,59,18.05,0.972983,70.978806,510.405396,,17.992996,
371,41.16,36,18.12,0.972939,-12.185389,92.712997,,22.830254,
372,73.7,54,18.22,0.9729,51.42173,374.148407,,21.329964,
373,66.76,50,18.3,0.972928,41.837311,247.384323,,22.323065,
374,61.06,48,18.36,0.972997,29.102419,193.677734,,22.147501,
375,78.54,57,18.46,0.97309,60.920876,556.290222,,21.986271,
376,52.48,42,18.52,0.973227,13.551894,113.545227,,23.236698,
377,60.72,52,18.59,0.973312,39.316433,386.657562,,18.202848,
378,95.43,66,18.69,0.973239,96.071129,956.797424,,17.949533,
379,69.92,55,18.79,0.973233,55.521881,441.049042,,19.521805,
380,41.3,35,18.86,0.973256,2.332277,137.692368,,21.552114,
381,78.41,49,18.92,0.973404,87.412827,554.752747,,20.807049,
382,24.8,29,18.96,0.973506,-30.87077,101.972488,,18.823591,
383,79.47,60,19.08,0.97359,58.609371,445.07254,,21.961016,
384,28.91,31,19.15,0.973698,-28.517439,133.430603,,20.781395,
385,48.72,42,19.24,0.973713,-5.437692,101.705788,,23.209505,
386,35.78,33,19.29,0.973685,-41.226398,154.478104,,26.965721,
387,63.11,42,19.36,0.973607,37.162971,169.216858,,23.786383,
388,84.55,59,19.46,0.973524,66.633331,558.230652,,23.554533,
389,66.55,51,19.54,0.97352,26.194595,216.921417,,24.854349,
390,73.65,47,19.63,0.973509,64.222252,372.36673,,22.169607,
391,24.29,26,19.69,0.973622,-43.618263,188.322983,,23.645699,
392,82.37,54,19.79,0.973845,96.135292,673.85675,,19.547682,
393,90.49,72,19.93,0.973906,62.604614,638.918701,,17.636711,
394,74.06,49,20.03,0.973886,67.784019,396.041412,,20.506691,
395,116.24,67,20.18,0.973746,142.529449,1744.900146,,20.186338,
396,61.05,40,20.25,0.973536,14.209929,202.632477,,28.803253,
397,64.22,53,20.37,0.973334,15.638434,162.139359,,25.089375,
398,58.29,47,20.56,0.973164,10.949197,132.940109,,25.494974,
399,84.28,62,20.71,0.972965,69.818779,603.080383,,19.816113,
400,53.33,45,20.82,0.972828,-6.336555,127.884888,,27.429705,
401,49.83,43,21.23,0.972743,-9.346655,119.80761,,26.044113,
402,45.96,41,21.3,0.972718,-16.084856,98.739403,,26.521935,
